cc_id	dir_ids
cc_0	['0013', '0014']
cc_1	['0197', '0198']
cc_2	['0199', '0200']
cc_3	['0189', '0190']
cc_4	['0191', '0192']
cc_5	['0187', '0188']
cc_6	['0193', '0194']
cc_7	['0195', '0196']
cc_8	['0201', '0202']
cc_9	['0203', '0204']
cc_10	['0067', '0124']
cc_11	['0068', '0125']
cc_12	['0070', '0127']
cc_13	['0179', '0180', '0181', '0182']
cc_14	['0244', '0245']
cc_15	['0246', '0247', '0250', '0251']
cc_16	['0248', '0249']
cc_17	['0326', '0327']
cc_18	['0334', '0335']
cc_19	['0328', '0329', '0332', '0333']
cc_20	['0336', '0337', '0340', '0341']
cc_21	['0330', '0331']
cc_22	['0338', '0339']
cc_23	['0066', '0123']
cc_24	['0065', '0122']
cc_25	['0102', '0159']
cc_26	['0390', '0391']
cc_27	['0082', '0139']
cc_28	['0080', '0137']
cc_29	['0081', '0138']
cc_30	['0077', '0134']
cc_31	['0071', '0072', '0073', '0074', '0075', '0128', '0129', '0130', '0131', '0132']
cc_32	['0076', '0133']
cc_33	['0079', '0136']
cc_34	['0078', '0135']
cc_35	['0252', '0253']
cc_36	['0254', '0255', '0258', '0259']
cc_37	['0256', '0257']
cc_38	['0232', '0233']
cc_39	['0342', '0343']
cc_40	['0350', '0351']
cc_41	['0344', '0345', '0348', '0349']
cc_42	['0352', '0353', '0356', '0357']
cc_43	['0346', '0347']
cc_44	['0354', '0355']
cc_45	['0236', '0237']
cc_46	['0238', '0239', '0242', '0243']
cc_47	['0240', '0241']
cc_48	['0234', '0235']
cc_49	['0083', '0140']
cc_50	['0084', '0141']
cc_51	['0085', '0142']
cc_52	['0086', '0143']
cc_53	['0087', '0144']
cc_54	['0101', '0158']
cc_55	['0088', '0089', '0090', '0091', '0092', '0145', '0146', '0147', '0148', '0149']
cc_56	['0094', '0151']
cc_57	['0095', '0152']
cc_58	['0096', '0153']
cc_59	['0100', '0157']
cc_60	['0098', '0155']
cc_61	['0099', '0156']
cc_62	['0097', '0154']
cc_63	['0310', '0311']
cc_64	['0318', '0319']
cc_65	['0312', '0316', '0317']
cc_66	['0320', '0321', '0324', '0325']
cc_67	['0314', '0315']
cc_68	['0322', '0323']
cc_69	['0001']
cc_70	['0002']
cc_71	['0003']
cc_72	['0004']
cc_73	['0005']
cc_74	['0006']
cc_75	['0008']
cc_76	['0009']
cc_77	['0010']
cc_78	['0011']
cc_79	['0012']
cc_80	['0015']
cc_81	['0016']
cc_82	['0017']
cc_83	['0018']
cc_84	['0019']
cc_85	['0021']
cc_86	['0022']
cc_87	['0023']
cc_88	['0024']
cc_89	['0025']
cc_90	['0028']
cc_91	['0029']
cc_92	['0030']
cc_93	['0031']
cc_94	['0032']
cc_95	['0033']
cc_96	['0034']
cc_97	['0036']
cc_98	['0038']
cc_99	['0039']
cc_100	['0040']
cc_101	['0041']
cc_102	['0042']
cc_103	['0043']
cc_104	['0045']
cc_105	['0046']
cc_106	['0047']
cc_107	['0048']
cc_108	['0049']
cc_109	['0050']
cc_110	['0051']
cc_111	['0052']
cc_112	['0054']
cc_113	['0055']
cc_114	['0056']
cc_115	['0057']
cc_116	['0058']
cc_117	['0059']
cc_118	['0060']
cc_119	['0061']
cc_120	['0062']
cc_121	['0063']
cc_122	['0064']
cc_123	['0093']
cc_124	['0150']
cc_125	['0186']
cc_126	['0205']
cc_127	['0206']
cc_128	['0207']
cc_129	['0209']
cc_130	['0210']
cc_131	['0211']
cc_132	['0212']
cc_133	['0213']
cc_134	['0214']
cc_135	['0215']
cc_136	['0216']
cc_137	['0217']
cc_138	['0219']
cc_139	['0220']
cc_140	['0221']
cc_141	['0223']
cc_142	['0224']
cc_143	['0226']
cc_144	['0229']
cc_145	['0260']
cc_146	['0261']
cc_147	['0262']
cc_148	['0263']
cc_149	['0264']
cc_150	['0265']
cc_151	['0266']
cc_152	['0267']
cc_153	['0268']
cc_154	['0269']
cc_155	['0270']
cc_156	['0271']
cc_157	['0272']
cc_158	['0273']
cc_159	['0274']
cc_160	['0275']
cc_161	['0276']
cc_162	['0277']
cc_163	['0278']
cc_164	['0279']
cc_165	['0280']
cc_166	['0281']
cc_167	['0284']
cc_168	['0285']
cc_169	['0286']
cc_170	['0287']
cc_171	['0288']
cc_172	['0289']
cc_173	['0290']
cc_174	['0291']
cc_175	['0292']
cc_176	['0293']
cc_177	['0294']
cc_178	['0295']
cc_179	['0313']
cc_180	['0358']
cc_181	['0359']
cc_182	['0360']
cc_183	['0361']
cc_184	['0362']
cc_185	['0382']
cc_186	['0383']
cc_187	['0384']
cc_188	['0385']
cc_189	['0386']
cc_190	['0387']
cc_191	['0388']
cc_192	['0389']
cc_193	['0392']
