MAE	RMSE	MRE	rel_max_rt_error	rel_mean_rt_error	n molecules test
42.473795405518786	76.58258320362663	14.381412074177168	5.195218835415972	13.158390805023467	3714
45.01956685844385	89.01774083971853	15.254813925488373	5.469341324850693	13.848459822648199	3713
40.79133769157413	77.56904123634646	14.076555455063572	4.893312670364177	12.251497436190958	3706
38.39596197092516	78.77007761309605	13.172014593215538	4.627571802359746	11.501369209241567	3696
38.52418341503005	73.05234096681151	13.441691146625072	4.689925821677662	11.789178570645836	3651
39.19018424094351	73.8456999838991	13.2117087646297	4.7683121685285865	11.92347643616181	3648
38.809717317773725	82.22945723879623	13.315811817600435	4.727276983075046	11.947387104945287	3627
42.117792036789744	81.11735584886466	14.063391146975235	5.112222292707912	12.920786994587624	3624
38.94803053013037	73.81644041675092	13.250077798585933	4.771538316011463	11.971980741224721	3595
39.6139487432746	85.98512428558213	13.304471179179638	4.758509671767991	12.040380552703528	3581
